AR. NO,STUDENT NAME,roll,email,codechef ranking,marks,state,passionate
1506,KRISHNAPRIYA. V,925,ugliestDerek@hotmail.it,735,118,TAMIL NADU,robotics
1759,AZHAKI GOPALAN. A,928,upsetJenny@yahoo.com.ar,706,127,ANDHRA PRADESH,robotics
416,KARTHIKAJOTHI. G,931,Chelseacourageous@hetnet.nl,755,129,WEST BENGAL,cse
837,RAMYA. J,953,Eduardocondemned@rambler.ru,771,110,WEST BENGAL,entrepreneur
1663,NISHANA. A,939,arrogantLydia46@terra.com.br,891,355,TAMIL NADU,maths
2214,NAVEENA. S,945,poisedWendy33@hetnet.nl,717,358,ANDHRA PRADESH,maths
2571,SNEHA. L.S,960,lovelyIvan89@yahoo.com.au,605,273,ANDHRA PRADESH,robotics
2452,VARSHA. V,964,richEugene82@rocketmail.com,954,246,TAMIL NADU,entrepreneur
1192,ASIYA. H,955,dullMindy95@charter.net,779,303,ANDHRA PRADESH,entrepreneur
2196,SIVAPRABHAVATHY. E,959,brainyDiane@rediffmail.com,933,252,WEST BENGAL,robotics
502,GOWSHIKA. E,926,oddZachary@yahoo.com.br,869,294,ANDHRA PRADESH,maths
2996,HARITHA. B,951,Manuelgrotesque@free.fr,910,233,ANDHRA PRADESH,cse
2387,MONIKA. P,961,Brandyhorrible@chello.nl,889,239,TAMIL NADU,maths
2036,SALINI. S,967,Aprilconfused@shaw.ca,801,196,WEST BENGAL,maths
1558,THERESA. J,944,combativeFrancisco3@yahoo.com.mx,675,212,TAMIL NADU,cse
816,NISHANTH. T,947,Stephanierelieved@voila.fr,639,181,ANDHRA PRADESH,entrepreneur
1956,PRIYANKA. P,968,Danefragile@yahoo.com.au,793,231,TAMIL NADU,maths
2276,AYISHA. A,936,bloodyAlisha@hotmail.fr,841,211,ANDHRA PRADESH,cse
22,BHUVANESHWARAN. G,941,agreeableGary@facebook.com,557,226,WEST BENGAL,maths
2138,MAHALAKSHMI. M,934,Cassiesore@live.nl,806,224,WEST BENGAL,robotics
3155,PAVITHRA BHARATHI. R,963,horribleClayton38@me.com,809,175,WEST BENGAL,robotics
839,DHIVAGAR. M,940,sparklingKaitlin20@sbcglobal.net,620,226,ANDHRA PRADESH,maths
1005,SNEHA. M,950,Darrenencouraging@planet.nl,617,220,WEST BENGAL,robotics
2330,MADAN RAJ. B,929,uglyMichelle11@live.fr,873,219,ANDHRA PRADESH,cse
2833,MANOJ RITHICK. CS,962,Dannyamused@yahoo.co.uk,881,192,TAMIL NADU,maths
1127,PRAKASH. N,933,Brittanysplendid@zonnet.nl,836,223,TAMIL NADU,maths
2069,CHANDRALEKHA A,956,Shaunthankful@shaw.ca,950,203,WEST BENGAL,cse
3523,VIMALADA JENCY. A,938,terribleTodd26@hotmail.fr,527,222,TAMIL NADU,entrepreneur
1226,DHILESHA FARHANA. J.S,958,betterAlex42@ymail.com,857,217,ANDHRA PRADESH,robotics
862,RAGAVAN. M,943,dullReginald@yahoo.fr,506,194,ANDHRA PRADESH,robotics
257,KANIMOZHI. P,937,Nicolasconfused@rediffmail.com,679,209,ANDHRA PRADESH,entrepreneur
1064,KEZIA. J,932,unusualFrancisco@uol.com.br,665,215,TAMIL NADU,maths
1124,ABINAYA. K,946,cleverAshlee@facebook.com,754,174,WEST BENGAL,maths
221,ANUNITHA. D,954,Robertotasty@frontiernet.net,568,209,ANDHRA PRADESH,cse
1479,KAVIYA. M,957,kindTabitha31@chello.nl,626,220,WEST BENGAL,cse
555,AMIRTHA. P,935,Randiannoyed@sbcglobal.net,525,234,ANDHRA PRADESH,cse
1894,DEEPIKA. M,927,nastyEvan33@centurytel.net,912,162,TAMIL NADU,robotics
1553,KAVIYA  P,966,annoyedRussell14@aim.com,846,283,ANDHRA PRADESH,entrepreneur
1353,SUBACHITRABANU S,930,worrisomeRussell3@yahoo.fr,918,265,ANDHRA PRADESH,entrepreneur
1548,MANIKANDAN. P,948,blackNicolas@ymail.com,550,438,ANDHRA PRADESH,robotics
2236,SHALINI. S,952,ashamedSarah35@att.net,830,235,ANDHRA PRADESH,entrepreneur
2611,VASANTHKUMAR. A,949,friendlyHeidi39@rocketmail.com,819,168,ANDHRA PRADESH,cse
2684,DEENA HEPSIBA. V,965,deadAndres@live.ca,968,314,ANDHRA PRADESH,maths
1366,TAMILARASAN M,942,worriedCheryl47@uol.com.br,632,132,TAMIL NADU,cse
